# 53daeef4-88e8-4096-a2f6-b12f24549704
# fa6dd5aa5c60fc24f97b1c07282f552698c45468
# s_m; x_m; y_m; psi_rad; kappa_radpm; vx_mps; ax_mps2
0.0000000; -197.3504822; 3.9862100; -1.5686043; -0.0000020; 55.0000000; 0.0000000
1.9991577; -195.3513294; 3.9905880; -1.5686085; -0.0000021; 55.0000000; 0.0000000
3.9983155; -193.3521764; 3.9949576; -1.5686129; -0.0000023; 55.0000000; 0.0000000
5.9974732; -191.3530233; 3.9993180; -1.5686176; -0.0000024; 55.0000000; 0.0000000
7.9966309; -189.3538704; 4.0036688; -1.5686225; -0.0000025; 55.0000000; 0.0000000
9.9957887; -187.3547174; 4.0080095; -1.5686277; -0.0000027; 55.0000000; 0.0000000
11.9949464; -185.3555642; 4.0123396; -1.5686331; -0.0000028; 55.0000000; 0.0000000
13.9941041; -183.3564113; 4.0166585; -1.5686388; -0.0000029; 55.0000000; 0.0000000
15.9932619; -181.3572582; 4.0209658; -1.5686448; -0.0000030; 55.0000000; 0.0000000
17.9924196; -179.3581050; 4.0252610; -1.5686510; -0.0000032; 55.0000000; 0.0000000
19.9915773; -177.3589519; 4.0295435; -1.5686574; -0.0000033; 55.0000000; 0.0000000
21.9907350; -175.3597988; 4.0338129; -1.5686641; -0.0000034; 55.0000000; 0.0000000
23.9898928; -173.3606454; 4.0380686; -1.5686711; -0.0000035; 55.0000000; 0.0000000
25.9890505; -171.3614923; 4.0423101; -1.5686783; -0.0000037; 55.0000000; 0.0000000
27.9882082; -169.3623390; 4.0465370; -1.5686858; -0.0000038; 55.0000000; 0.0000000
29.9873660; -167.3631857; 4.0507486; -1.5686935; -0.0000039; 55.0000000; 0.0000000
31.9865237; -165.3640324; 4.0549445; -1.5687015; -0.0000041; 55.0000000; 0.0000000
33.9856814; -163.3648791; 4.0591243; -1.5687097; -0.0000042; 55.0000000; 0.0000000
35.9848392; -161.3657256; 4.0632873; -1.5687182; -0.0000043; 55.0000000; 0.0000000
37.9839969; -159.3665722; 4.0674331; -1.5687270; -0.0000044; 55.0000000; 0.0000000
39.9831546; -157.3674187; 4.0715611; -1.5687360; -0.0000046; 55.0000000; 0.0000000
41.9823124; -155.3682652; 4.0756709; -1.5687452; -0.0000047; 55.0000000; 0.0000000
43.9814701; -153.3691117; 4.0797620; -1.5687547; -0.0000048; 55.0000000; 0.0000000
45.9806278; -151.3699581; 4.0838338; -1.5687645; -0.0000049; 55.0000000; 0.0000000
47.9797856; -149.3708044; 4.0878858; -1.5687745; -0.0000051; 55.0000000; 0.0000000
49.9789433; -147.3716508; 4.0919175; -1.5687848; -0.0000052; 55.0000000; 0.0000000
51.9781010; -145.3724971; 4.0959285; -1.5687953; -0.0000053; 55.0000000; 0.0000000
53.9772588; -143.3733433; 4.0999182; -1.5688061; -0.0000055; 55.0000000; 0.0000000
55.9764165; -141.3741895; 4.1038860; -1.5688171; -0.0000056; 55.0000000; 0.0000000
57.9755742; -139.3750357; 4.1078316; -1.5688284; -0.0000057; 55.0000000; 0.0000000
59.9747320; -137.3758818; 4.1117543; -1.5688399; -0.0000058; 55.0000000; 0.0000000
61.9738897; -135.3767279; 4.1156538; -1.5688517; -0.0000060; 55.0000000; 0.0000000
63.9730474; -133.3775739; 4.1195293; -1.5688638; -0.0000061; 55.0000000; 0.0000000
65.9722051; -131.3784198; 4.1233806; -1.5688761; -0.0000062; 55.0000000; 0.0000000
67.9713629; -129.3792658; 4.1272070; -1.5688886; -0.0000063; 55.0000000; 0.0000000
69.9705206; -127.3801117; 4.1310080; -1.5689014; -0.0000065; 55.0000000; 0.0000000
71.9696783; -125.3809575; 4.1347831; -1.5689145; -0.0000066; 55.0000000; 0.0000000
73.9688361; -123.3818033; 4.1385319; -1.5689278; -0.0000067; 55.0000000; 0.0000000
75.9679938; -121.3826490; 4.1422538; -1.5689414; -0.0000069; 55.0000000; 0.0000000
77.9671515; -119.3834947; 4.1459483; -1.5689552; -0.0000070; 55.0000000; 0.0000000
79.9663093; -117.3843403; 4.1496149; -1.5689693; -0.0000071; 55.0000000; 0.0000000
81.9654670; -115.3851859; 4.1532531; -1.5689837; -0.0000072; 55.0000000; 0.0000000
83.9646247; -113.3860314; 4.1568623; -1.5689982; -0.0000074; 55.0000000; 0.0000000
85.9637825; -111.3868769; 4.1604422; -1.5690131; -0.0000075; 55.0000000; 0.0000000
87.9629402; -109.3877223; 4.1639921; -1.5690282; -0.0000076; 55.0000000; 0.0000000
89.9620979; -107.3885677; 4.1675116; -1.5690436; -0.0000077; 55.0000000; 0.0000000
91.9612557; -105.3894130; 4.1710001; -1.5690592; -0.0000079; 55.0000000; 0.0000000
93.9604134; -103.3902582; 4.1744571; -1.5690750; -0.0000080; 55.0000000; 0.0000000
95.9595711; -101.3911034; 4.1778822; -1.5690911; -0.0000081; 55.0000000; 0.0000000
97.9587289; -99.3919486; 4.1812748; -1.5691075; -0.0000083; 55.0000000; 0.0000000
99.9578866; -97.3927937; 4.1846344; -1.5691241; -0.0000084; 55.0000000; 0.0000000
101.9570443; -95.3936387; 4.1879605; -1.5691410; -0.0000085; 55.0000000; 0.0000000
103.9562021; -93.3944837; 4.1912527; -1.5691582; -0.0000086; 55.0000000; 0.0000000
105.9553598; -91.3953286; 4.1945103; -1.5691755; -0.0000088; 55.0000000; 0.0000000
107.9545175; -89.3961735; 4.1977329; -1.5691932; -0.0000089; 55.0000000; 0.0000000
109.9536752; -87.3970183; 4.2009199; -1.5692111; -0.0000090; 55.0000000; 0.0000000
111.9528330; -85.3978630; 4.2040710; -1.5692292; -0.0000091; 55.0000000; 0.0000000
113.9519907; -83.3987077; 4.2071855; -1.5692477; -0.0000093; 55.0000000; 0.0000000
115.9511484; -81.3995524; 4.2102629; -1.5692663; -0.0000094; 55.0000000; 0.0000000
117.9503062; -79.4003969; 4.2133028; -1.5692852; -0.0000095; 55.0000000; 0.0000000
119.9494639; -77.4012415; 4.2163046; -1.5693044; -0.0000097; 55.0000000; 0.0000000
121.9486216; -75.4020859; 4.2192678; -1.5693238; -0.0000098; 55.0000000; 0.0000000
123.9477794; -73.4029303; 4.2221920; -1.5693435; -0.0000099; 55.0000000; 0.0000000
125.9469371; -71.4037747; 4.2250765; -1.5693634; -0.0000100; 55.0000000; 0.0000000
127.9460948; -69.4046190; 4.2279210; -1.5693836; -0.0000102; 55.0000000; 0.0000000
129.9452526; -67.4054632; 4.2307248; -1.5694041; -0.0000103; 55.0000000; 0.0000000
131.9444103; -65.4063074; 4.2334875; -1.5694248; -0.0000104; 55.0000000; 0.0000000
133.9435680; -63.4071515; 4.2362086; -1.5694457; -0.0000105; 55.0000000; 0.0000000
135.9427258; -61.4079956; 4.2388876; -1.5694669; -0.0000107; 55.0000000; 0.0000000
137.9418835; -59.4088396; 4.2415239; -1.5694884; -0.0000108; 55.0000000; 0.0000000
139.9410412; -57.4096835; 4.2441170; -1.5695101; -0.0000109; 55.0000000; 0.0000000
141.9401990; -55.4105274; 4.2466665; -1.5695320; -0.0000111; 55.0000000; 0.0000000
143.9393567; -53.4113713; 4.2491719; -1.5695543; -0.0000112; 55.0000000; 0.0000000
145.9385144; -51.4122150; 4.2516325; -1.5695767; -0.0000113; 55.0000000; 0.0000000
147.9376721; -49.4130588; 4.2540480; -1.5695995; -0.0000114; 55.0000000; 0.0000000
149.9368299; -47.4139025; 4.2564178; -1.5696225; -0.0000116; 55.0000000; 0.0000000
151.9359876; -45.4147460; 4.2587413; -1.5696457; -0.0000117; 55.0000000; 0.0000000
153.9351453; -43.4155896; 4.2610182; -1.5696692; -0.0000118; 55.0000000; 0.0000000
155.9343031; -41.4164331; 4.2632478; -1.5696929; -0.0000119; 55.0000000; 0.0000000
157.9334608; -39.4172766; 4.2654298; -1.5697169; -0.0000121; 55.0000000; 0.0000000
159.9326185; -37.4181200; 4.2675634; -1.5697412; -0.0000122; 55.0000000; 0.0000000
161.9317763; -35.4189634; 4.2696484; -1.5697657; -0.0000123; 55.0000000; 0.0000000
