# b83741f4-f6f6-4e03-8b47-819b03d4b09d
# fa6dd5aa5c60fc24f97b1c07282f552698c45468
# s_m; x_m; y_m; psi_rad; kappa_radpm; vx_mps; ax_mps2
0.0000000; -197.3775084; -4.0572923; -1.5670110; -0.0000274; 55.0000000; 0.0000000
1.9992736; -195.3782483; -4.0497791; -1.5670656; -0.0000272; 55.0000000; 0.0000000
3.9985472; -193.3789884; -4.0423747; -1.5671199; -0.0000270; 55.0000000; 0.0000000
5.9978209; -191.3797287; -4.0350783; -1.5671736; -0.0000268; 55.0000000; 0.0000000
7.9970945; -189.3804675; -4.0278890; -1.5672270; -0.0000266; 55.0000000; 0.0000000
9.9963681; -187.3812064; -4.0208058; -1.5672799; -0.0000264; 55.0000000; 0.0000000
11.9956417; -185.3819454; -4.0138280; -1.5673323; -0.0000261; 55.0000000; 0.0000000
13.9949154; -183.3826832; -4.0069547; -1.5673844; -0.0000259; 55.0000000; 0.0000000
15.9941890; -181.3834210; -4.0001849; -1.5674360; -0.0000257; 55.0000000; 0.0000000
17.9934626; -179.3841590; -3.9935178; -1.5674871; -0.0000255; 55.0000000; 0.0000000
19.9927362; -177.3848957; -3.9869526; -1.5675378; -0.0000253; 55.0000000; 0.0000000
21.9920098; -175.3856326; -3.9804883; -1.5675881; -0.0000250; 55.0000000; 0.0000000
23.9912835; -173.3863695; -3.9741240; -1.5676379; -0.0000248; 55.0000000; 0.0000000
25.9905571; -171.3871053; -3.9678590; -1.5676873; -0.0000246; 55.0000000; 0.0000000
27.9898307; -169.3878412; -3.9616924; -1.5677363; -0.0000244; 55.0000000; 0.0000000
29.9891043; -167.3885771; -3.9556231; -1.5677848; -0.0000242; 55.0000000; 0.0000000
31.9883780; -165.3893121; -3.9496505; -1.5678329; -0.0000239; 55.0000000; 0.0000000
33.9876516; -163.3900471; -3.9437736; -1.5678806; -0.0000237; 55.0000000; 0.0000000
35.9869252; -161.3907822; -3.9379914; -1.5679278; -0.0000235; 55.0000000; 0.0000000
37.9861988; -159.3915164; -3.9323033; -1.5679746; -0.0000233; 55.0000000; 0.0000000
39.9854724; -157.3922506; -3.9267082; -1.5680209; -0.0000231; 55.0000000; 0.0000000
41.9847461; -155.3929848; -3.9212053; -1.5680668; -0.0000228; 55.0000000; 0.0000000
43.9840197; -153.3937183; -3.9157938; -1.5681123; -0.0000226; 55.0000000; 0.0000000
45.9832933; -151.3944517; -3.9104727; -1.5681573; -0.0000224; 55.0000000; 0.0000000
47.9825669; -149.3951852; -3.9052412; -1.5682019; -0.0000222; 55.0000000; 0.0000000
49.9818406; -147.3959180; -3.9000984; -1.5682460; -0.0000220; 55.0000000; 0.0000000
51.9811142; -145.3966507; -3.8950434; -1.5682897; -0.0000218; 55.0000000; 0.0000000
53.9803878; -143.3973835; -3.8900754; -1.5683330; -0.0000215; 55.0000000; 0.0000000
55.9796614; -141.3981156; -3.8851935; -1.5683758; -0.0000213; 55.0000000; 0.0000000
57.9789351; -139.3988478; -3.8803967; -1.5684182; -0.0000211; 55.0000000; 0.0000000
59.9782087; -137.3995799; -3.8756843; -1.5684602; -0.0000209; 55.0000000; 0.0000000
61.9774823; -135.4003115; -3.8710554; -1.5685017; -0.0000207; 55.0000000; 0.0000000
63.9767559; -133.4010430; -3.8665090; -1.5685428; -0.0000204; 55.0000000; 0.0000000
65.9760295; -131.4017746; -3.8620443; -1.5685835; -0.0000202; 55.0000000; 0.0000000
67.9753032; -129.4025056; -3.8576605; -1.5686237; -0.0000200; 55.0000000; 0.0000000
69.9745768; -127.4032366; -3.8533566; -1.5686634; -0.0000198; 55.0000000; 0.0000000
71.9738504; -125.4039676; -3.8491318; -1.5687028; -0.0000196; 55.0000000; 0.0000000
73.9731240; -123.4046981; -3.8449851; -1.5687417; -0.0000193; 55.0000000; 0.0000000
75.9723977; -121.4054287; -3.8409159; -1.5687801; -0.0000191; 55.0000000; 0.0000000
77.9716713; -119.4061592; -3.8369230; -1.5688182; -0.0000189; 55.0000000; 0.0000000
79.9709449; -117.4068893; -3.8330058; -1.5688557; -0.0000187; 55.0000000; 0.0000000
81.9702185; -115.4076193; -3.8291632; -1.5688929; -0.0000185; 55.0000000; 0.0000000
83.9694921; -113.4083494; -3.8253945; -1.5689296; -0.0000183; 55.0000000; 0.0000000
85.9687658; -111.4090791; -3.8216987; -1.5689659; -0.0000180; 55.0000000; 0.0000000
87.9680394; -109.4098088; -3.8180750; -1.5690017; -0.0000178; 55.0000000; 0.0000000
89.9673130; -107.4105384; -3.8145224; -1.5690371; -0.0000176; 55.0000000; 0.0000000
91.9665866; -105.4112677; -3.8110403; -1.5690720; -0.0000174; 55.0000000; 0.0000000
93.9658603; -103.4119970; -3.8076275; -1.5691066; -0.0000172; 55.0000000; 0.0000000
95.9651339; -101.4127262; -3.8042833; -1.5691406; -0.0000169; 55.0000000; 0.0000000
97.9644075; -99.4134553; -3.8010069; -1.5691743; -0.0000167; 55.0000000; 0.0000000
99.9636811; -97.4141842; -3.7977972; -1.5692075; -0.0000165; 55.0000000; 0.0000000
101.9629547; -95.4149131; -3.7946535; -1.5692403; -0.0000163; 55.0000000; 0.0000000
103.9622284; -93.4156418; -3.7915749; -1.5692726; -0.0000161; 55.0000000; 0.0000000
105.9615020; -91.4163705; -3.7885605; -1.5693045; -0.0000158; 55.0000000; 0.0000000
107.9607756; -89.4170991; -3.7856094; -1.5693359; -0.0000156; 55.0000000; 0.0000000
109.9600492; -87.4178275; -3.7827207; -1.5693669; -0.0000154; 55.0000000; 0.0000000
111.9593229; -85.4185559; -3.7798936; -1.5693975; -0.0000152; 55.0000000; 0.0000000
113.9585965; -83.4192842; -3.7771272; -1.5694277; -0.0000150; 55.0000000; 0.0000000
115.9578701; -81.4200124; -3.7744206; -1.5694574; -0.0000147; 55.0000000; 0.0000000
117.9571437; -79.4207405; -3.7717730; -1.5694866; -0.0000145; 55.0000000; 0.0000000
119.9564173; -77.4214686; -3.7691834; -1.5695154; -0.0000143; 55.0000000; 0.0000000
