# 65eab0d7-6428-4c3c-b585-da5524647960
# fa6dd5aa5c60fc24f97b1c07282f552698c45468
# s_m; x_m; y_m; psi_rad; kappa_radpm; vx_mps; ax_mps2
0.0000000; -197.3653618; -2.8330324; -1.5690781; -0.0000044; 55.0000000; 0.0000000
1.9993766; -195.3659881; -2.8296059; -1.5690871; -0.0000045; 55.0000000; 0.0000000
3.9987532; -193.3666144; -2.8261975; -1.5690961; -0.0000046; 55.0000000; 0.0000000
5.9981298; -191.3672407; -2.8228074; -1.5691054; -0.0000047; 55.0000000; 0.0000000
7.9975064; -189.3678669; -2.8194359; -1.5691148; -0.0000047; 55.0000000; 0.0000000
9.9968830; -187.3684931; -2.8160833; -1.5691243; -0.0000048; 55.0000000; 0.0000000
11.9962596; -185.3691193; -2.8127499; -1.5691340; -0.0000049; 55.0000000; 0.0000000
13.9956362; -183.3697454; -2.8094360; -1.5691438; -0.0000049; 55.0000000; 0.0000000
15.9950128; -181.3703716; -2.8061418; -1.5691537; -0.0000050; 55.0000000; 0.0000000
17.9943894; -179.3709977; -2.8028678; -1.5691638; -0.0000051; 55.0000000; 0.0000000
19.9937660; -177.3716237; -2.7996140; -1.5691741; -0.0000052; 55.0000000; 0.0000000
21.9931426; -175.3722497; -2.7963809; -1.5691845; -0.0000052; 55.0000000; 0.0000000
23.9925192; -173.3728757; -2.7931688; -1.5691950; -0.0000053; 55.0000000; 0.0000000
25.9918958; -171.3735016; -2.7899779; -1.5692057; -0.0000054; 55.0000000; 0.0000000
27.9912724; -169.3741275; -2.7868085; -1.5692166; -0.0000055; 55.0000000; 0.0000000
29.9906490; -167.3747534; -2.7836609; -1.5692276; -0.0000055; 55.0000000; 0.0000000
31.9900256; -165.3753793; -2.7805355; -1.5692387; -0.0000056; 55.0000000; 0.0000000
33.9894022; -163.3760051; -2.7774324; -1.5692500; -0.0000057; 55.0000000; 0.0000000
35.9887788; -161.3766309; -2.7743520; -1.5692614; -0.0000057; 55.0000000; 0.0000000
37.9881554; -159.3772566; -2.7712946; -1.5692730; -0.0000058; 55.0000000; 0.0000000
39.9875320; -157.3778823; -2.7682605; -1.5692847; -0.0000059; 55.0000000; 0.0000000
41.9869086; -155.3785080; -2.7652500; -1.5692965; -0.0000060; 55.0000000; 0.0000000
