# 19774a4d-743b-4f4b-9740-6c12835284e1
# da39a3ee5e6b4b0d3255bfef95601890afd80709
# s_m; x_m; y_m; psi_rad; kappa_radpm; vx_mps; ax_mps2
0.0000000; -197.3674909; -2.5051554; -1.5696319; -0.0000000; 54.9999824; 0.0001647
1.9993922; -195.3681000; -2.5028273; -1.5696321; -0.0000002; 54.9999883; 0.0000828
3.9987845; -193.3687091; -2.5004999; -1.5696325; -0.0000002; 54.9999914; 0.0000011
5.9981767; -191.3693183; -2.4981733; -1.5696329; -0.0000002; 54.9999914; -0.0000002
7.9975690; -189.3699273; -2.4958476; -1.5696333; -0.0000002; 54.9999914; -0.0000001
9.9969612; -187.3705364; -2.4935227; -1.5696337; -0.0000002; 54.9999914; -0.0000000
11.9963534; -185.3711456; -2.4911987; -1.5696341; -0.0000002; 54.9999914; 0.0000000
13.9957457; -183.3717546; -2.4888754; -1.5696345; -0.0000002; 54.9999914; 0.0000000
15.9951379; -181.3723638; -2.4865528; -1.5696349; -0.0000002; 54.9999914; 0.0000000
17.9945302; -179.3729729; -2.4842309; -1.5696352; -0.0000002; 54.9999914; 0.0000000
19.9939224; -177.3735820; -2.4819097; -1.5696355; -0.0000001; 54.9999914; 0.0000000
21.9933146; -175.3741911; -2.4795891; -1.5696358; -0.0000001; 54.9999914; 0.0000000
23.9927069; -173.3748002; -2.4772690; -1.5696361; -0.0000001; 54.9999914; 0.0000000
25.9920991; -171.3754093; -2.4749494; -1.5696363; -0.0000001; 54.9999914; 0.0000000
27.9914914; -169.3760184; -2.4726303; -1.5696365; -0.0000001; 54.9999914; 0.0000000
29.9908836; -167.3766275; -2.4703116; -1.5696367; -0.0000001; 54.9999914; 0.0000000
31.9902758; -165.3772366; -2.4679933; -1.5696369; -0.0000001; 54.9999914; 0.0000000
33.9896681; -163.3778457; -2.4656753; -1.5696371; -0.0000001; 54.9999914; 0.0000000
35.9890603; -161.3784549; -2.4633577; -1.5696372; -0.0000001; 54.9999914; 0.0000000
37.9884526; -159.3790639; -2.4610403; -1.5696373; -0.0000001; 54.9999914; 0.0000000
39.9878448; -157.3796730; -2.4587231; -1.5696375; -0.0000001; 54.9999914; 0.0000000
41.9872370; -155.3802822; -2.4564063; -1.5696376; -0.0000001; 54.9999914; 0.0000000
43.9866293; -153.3808912; -2.4540896; -1.5696377; -0.0000001; 54.9999914; 0.0000000
45.9860215; -151.3815003; -2.4517732; -1.5696378; -0.0000001; 54.9999914; 0.0000000
47.9854138; -149.3821095; -2.4494569; -1.5696379; -0.0000001; 54.9999914; 0.0000000
49.9848060; -147.3827185; -2.4471410; -1.5696380; -0.0000001; 54.9999914; 0.0000000
51.9841982; -145.3833276; -2.4448252; -1.5696382; -0.0000001; 54.9999914; 0.0000000
53.9835905; -143.3839368; -2.4425097; -1.5696383; -0.0000001; 54.9999914; 0.0000000
55.9829827; -141.3845458; -2.4401946; -1.5696385; -0.0000001; 54.9999914; 0.0000000
57.9823750; -139.3851549; -2.4378797; -1.5696386; -0.0000001; 54.9999914; 0.0000000
59.9817672; -137.3857641; -2.4355653; -1.5696388; -0.0000001; 54.9999914; 0.0000000
61.9811594; -135.3863731; -2.4332512; -1.5696391; -0.0000001; 54.9999914; 0.0000000
63.9805517; -133.3869822; -2.4309377; -1.5696393; -0.0000001; 54.9999914; 0.0000000
65.9799439; -131.3875914; -2.4286247; -1.5696396; -0.0000002; 54.9999914; 0.0000000
67.9793362; -129.3882004; -2.4263123; -1.5696400; -0.0000002; 54.9999914; 0.0000000
69.9787284; -127.3888095; -2.4240007; -1.5696403; -0.0000002; 54.9999914; 0.0000000
71.9781206; -125.3894187; -2.4216898; -1.5696407; -0.0000002; 54.9999914; 0.0000000
73.9775129; -123.3900277; -2.4193798; -1.5696412; -0.0000002; 54.9999914; 0.0000000
75.9769051; -121.3906368; -2.4170707; -1.5696417; -0.0000003; 54.9999914; 0.0000000
77.9762974; -119.3912459; -2.4147627; -1.5696422; -0.0000003; 54.9999914; 0.0000000
79.9756896; -117.3918550; -2.4124558; -1.5696428; -0.0000003; 54.9999914; 0.0000000
81.9750818; -115.3924641; -2.4101501; -1.5696434; -0.0000003; 54.9999914; 0.0000000
