# 0c482529-8887-4c55-a6d1-7160d30b9996
# fa6dd5aa5c60fc24f97b1c07282f552698c45468
# s_m; x_m; y_m; psi_rad; kappa_radpm; vx_mps; ax_mps2
0.0000000; -197.3643722; -3.2425996; -1.5700556; -0.0000005; 55.0000000; 0.0000000
1.9999868; -195.3643859; -3.2411191; -1.5700566; -0.0000005; 55.0000000; 0.0000000
3.9999737; -193.3643996; -3.2396406; -1.5700576; -0.0000005; 55.0000000; 0.0000000
5.9999605; -191.3644134; -3.2381640; -1.5700585; -0.0000005; 55.0000000; 0.0000000
7.9999473; -189.3644270; -3.2366893; -1.5700594; -0.0000005; 55.0000000; 0.0000000
9.9999342; -187.3644407; -3.2352165; -1.5700604; -0.0000004; 55.0000000; 0.0000000
11.9999210; -185.3644545; -3.2337454; -1.5700612; -0.0000004; 55.0000000; 0.0000000
13.9999079; -183.3644681; -3.2322761; -1.5700621; -0.0000004; 55.0000000; 0.0000000
15.9998947; -181.3644818; -3.2308085; -1.5700629; -0.0000004; 55.0000000; 0.0000000
17.9998815; -179.3644956; -3.2293426; -1.5700637; -0.0000004; 55.0000000; 0.0000000
19.9998684; -177.3645092; -3.2278782; -1.5700645; -0.0000004; 55.0000000; 0.0000000
21.9998552; -175.3645229; -3.2264154; -1.5700653; -0.0000004; 55.0000000; 0.0000000
23.9998420; -173.3645367; -3.2249541; -1.5700660; -0.0000004; 55.0000000; 0.0000000
25.9998289; -171.3645503; -3.2234942; -1.5700667; -0.0000003; 55.0000000; 0.0000000
27.9998157; -169.3645640; -3.2220357; -1.5700674; -0.0000003; 55.0000000; 0.0000000
29.9998025; -167.3645778; -3.2205786; -1.5700681; -0.0000003; 55.0000000; 0.0000000
31.9997894; -165.3645914; -3.2191227; -1.5700687; -0.0000003; 55.0000000; 0.0000000
33.9997762; -163.3646051; -3.2176682; -1.5700693; -0.0000003; 55.0000000; 0.0000000
35.9997630; -161.3646189; -3.2162148; -1.5700699; -0.0000003; 55.0000000; 0.0000000
37.9997499; -159.3646325; -3.2147626; -1.5700705; -0.0000003; 55.0000000; 0.0000000
39.9997367; -157.3646462; -3.2133115; -1.5700710; -0.0000003; 55.0000000; 0.0000000
41.9997236; -155.3646599; -3.2118614; -1.5700715; -0.0000003; 55.0000000; 0.0000000
43.9997104; -153.3646736; -3.2104123; -1.5700720; -0.0000002; 55.0000000; 0.0000000
45.9996972; -151.3646872; -3.2089642; -1.5700725; -0.0000002; 55.0000000; 0.0000000
47.9996841; -149.3647010; -3.2075170; -1.5700729; -0.0000002; 55.0000000; 0.0000000
49.9996709; -147.3647146; -3.2060707; -1.5700734; -0.0000002; 55.0000000; 0.0000000
51.9996577; -145.3647283; -3.2046252; -1.5700738; -0.0000002; 55.0000000; 0.0000000
53.9996446; -143.3647421; -3.2031804; -1.5700741; -0.0000002; 55.0000000; 0.0000000
55.9996314; -141.3647557; -3.2017363; -1.5700745; -0.0000002; 55.0000000; 0.0000000
57.9996182; -139.3647694; -3.2002929; -1.5700748; -0.0000002; 55.0000000; 0.0000000
59.9996051; -137.3647831; -3.1988501; -1.5700751; -0.0000001; 55.0000000; 0.0000000
61.9995919; -135.3647967; -3.1974079; -1.5700753; -0.0000001; 55.0000000; 0.0000000
63.9995787; -133.3648104; -3.1959662; -1.5700756; -0.0000001; 55.0000000; 0.0000000
65.9995656; -131.3648242; -3.1945250; -1.5700758; -0.0000001; 55.0000000; 0.0000000
67.9995524; -129.3648378; -3.1930841; -1.5700760; -0.0000001; 55.0000000; 0.0000000
69.9995393; -127.3648515; -3.1916436; -1.5700762; -0.0000001; 55.0000000; 0.0000000
71.9995261; -125.3648652; -3.1902035; -1.5700763; -0.0000001; 55.0000000; 0.0000000
73.9995129; -123.3648788; -3.1887636; -1.5700764; -0.0000001; 55.0000000; 0.0000000
75.9994998; -121.3648925; -3.1873239; -1.5700765; -0.0000000; 55.0000000; 0.0000000
77.9994866; -119.3649063; -3.1858844; -1.5700766; -0.0000000; 55.0000000; 0.0000000
79.9994734; -117.3649199; -3.1844451; -1.5700767; -0.0000000; 55.0000000; 0.0000000
81.9994603; -115.3649336; -3.1830057; -1.5700767; -0.0000000; 55.0000000; 0.0000000
83.9994471; -113.3649473; -3.1815664; -1.5700767; 0.0000000; 55.0000000; 0.0000000
85.9994339; -111.3649609; -3.1801271; -1.5700766; 0.0000000; 55.0000000; 0.0000000
87.9994208; -109.3649746; -3.1786877; -1.5700766; 0.0000000; 55.0000000; 0.0000000
89.9994076; -107.3649884; -3.1772482; -1.5700765; 0.0000000; 55.0000000; 0.0000000
91.9993944; -105.3650020; -3.1758085; -1.5700764; 0.0000001; 55.0000000; 0.0000000
93.9993813; -103.3650157; -3.1743686; -1.5700763; 0.0000001; 55.0000000; 0.0000000
95.9993681; -101.3650294; -3.1729284; -1.5700761; 0.0000001; 55.0000000; 0.0000000
97.9993550; -99.3650430; -3.1714878; -1.5700760; 0.0000001; 55.0000000; 0.0000000
99.9993418; -97.3650567; -3.1700469; -1.5700758; 0.0000001; 55.0000000; 0.0000000
101.9993286; -95.3650705; -3.1686056; -1.5700755; 0.0000001; 55.0000000; 0.0000000
103.9993155; -93.3650841; -3.1671638; -1.5700753; 0.0000001; 55.0000000; 0.0000000
105.9993023; -91.3650978; -3.1657215; -1.5700750; 0.0000001; 55.0000000; 0.0000000
107.9992891; -89.3651115; -3.1642786; -1.5700747; 0.0000002; 55.0000000; 0.0000000
109.9992760; -87.3651251; -3.1628351; -1.5700744; 0.0000002; 55.0000000; 0.0000000
111.9992628; -85.3651388; -3.1613910; -1.5700741; 0.0000002; 55.0000000; 0.0000000
113.9992496; -83.3651526; -3.1599461; -1.5700737; 0.0000002; 55.0000000; 0.0000000
115.9992365; -81.3651662; -3.1585004; -1.5700733; 0.0000002; 55.0000000; 0.0000000
117.9992233; -79.3651799; -3.1570539; -1.5700729; 0.0000002; 55.0000000; 0.0000000
119.9992101; -77.3651936; -3.1556066; -1.5700724; 0.0000002; 55.0000000; 0.0000000
121.9991970; -75.3652073; -3.1541583; -1.5700720; 0.0000002; 55.0000000; 0.0000000
123.9991838; -73.3652209; -3.1527091; -1.5700715; 0.0000003; 55.0000000; 0.0000000
125.9991707; -71.3652347; -3.1512589; -1.5700709; 0.0000003; 55.0000000; 0.0000000
127.9991575; -69.3652483; -3.1498076; -1.5700704; 0.0000003; 55.0000000; 0.0000000
129.9991443; -67.3652620; -3.1483552; -1.5700698; 0.0000003; 55.0000000; 0.0000000
131.9991312; -65.3652758; -3.1469016; -1.5700692; 0.0000003; 55.0000000; 0.0000000
133.9991180; -63.3652894; -3.1454469; -1.5700686; 0.0000003; 55.0000000; 0.0000000
135.9991048; -61.3653031; -3.1439908; -1.5700680; 0.0000003; 55.0000000; 0.0000000
137.9990917; -59.3653168; -3.1425335; -1.5700673; 0.0000003; 55.0000000; 0.0000000
139.9990785; -57.3653305; -3.1410748; -1.5700666; 0.0000004; 55.0000000; 0.0000000
141.9990653; -55.3653442; -3.1396147; -1.5700659; 0.0000004; 55.0000000; 0.0000000
143.9990522; -53.3653579; -3.1381531; -1.5700652; 0.0000004; 55.0000000; 0.0000000
145.9990390; -51.3653716; -3.1366901; -1.5700644; 0.0000004; 55.0000000; 0.0000000
147.9990258; -49.3653853; -3.1352254; -1.5700636; 0.0000004; 55.0000000; 0.0000000
149.9990127; -47.3653990; -3.1337592; -1.5700628; 0.0000004; 55.0000000; 0.0000000
151.9989995; -45.3654127; -3.1322913; -1.5700620; 0.0000004; 55.0000000; 0.0000000
153.9989864; -43.3654264; -3.1308217; -1.5700611; 0.0000004; 55.0000000; 0.0000000
155.9989732; -41.3654402; -3.1293504; -1.5700602; 0.0000005; 55.0000000; 0.0000000
157.9989600; -39.3654538; -3.1278773; -1.5700593; 0.0000005; 55.0000000; 0.0000000
159.9989469; -37.3654675; -3.1264023; -1.5700584; 0.0000005; 55.0000000; 0.0000000
161.9989337; -35.3654813; -3.1249254; -1.5700574; 0.0000005; 55.0000000; 0.0000000
163.9989205; -33.3654950; -3.1234466; -1.5700564; 0.0000005; 55.0000000; 0.0000000
165.9989074; -31.3655087; -3.1219657; -1.5700554; 0.0000005; 55.0000000; 0.0000000
167.9988942; -29.3655224; -3.1204829; -1.5700544; 0.0000005; 55.0000000; 0.0000000
169.9988810; -27.3655361; -3.1189979; -1.5700533; 0.0000005; 55.0000000; 0.0000000
171.9988679; -25.3655498; -3.1175108; -1.5700522; 0.0000005; 55.0000000; 0.0000000
