# 366d5eed-78cf-409b-826a-0b149b63b825
# fa6dd5aa5c60fc24f97b1c07282f552698c45468
# s_m; x_m; y_m; psi_rad; kappa_radpm; vx_mps; ax_mps2
0.0000000; -197.3676751; -3.3083124; -1.5673196; -0.0000165; 55.0000000; 0.0000000
1.9992443; -195.3684427; -3.3013947; -1.5673528; -0.0000167; 55.0000000; 0.0000000
3.9984887; -193.3692100; -3.2945436; -1.5673862; -0.0000168; 55.0000000; 0.0000000
5.9977330; -191.3699774; -3.2877598; -1.5674200; -0.0000170; 55.0000000; 0.0000000
7.9969773; -189.3707442; -3.2810439; -1.5674542; -0.0000172; 55.0000000; 0.0000000
9.9962216; -187.3715109; -3.2743966; -1.5674887; -0.0000174; 55.0000000; 0.0000000
11.9954660; -185.3722775; -3.2678187; -1.5675236; -0.0000175; 55.0000000; 0.0000000
13.9947103; -183.3730437; -3.2613109; -1.5675588; -0.0000177; 55.0000000; 0.0000000
15.9939546; -181.3738097; -3.2548738; -1.5675944; -0.0000179; 55.0000000; 0.0000000
17.9931989; -179.3745756; -3.2485081; -1.5676303; -0.0000180; 55.0000000; 0.0000000
19.9924433; -177.3753411; -3.2422146; -1.5676665; -0.0000182; 55.0000000; 0.0000000
21.9916876; -175.3761065; -3.2359939; -1.5677031; -0.0000184; 55.0000000; 0.0000000
23.9909319; -173.3768717; -3.2298467; -1.5677401; -0.0000186; 55.0000000; 0.0000000
25.9901763; -171.3776365; -3.2237738; -1.5677774; -0.0000187; 55.0000000; 0.0000000
27.9894206; -169.3784012; -3.2177759; -1.5678151; -0.0000189; 55.0000000; 0.0000000
29.9886649; -167.3791657; -3.2118535; -1.5678531; -0.0000191; 55.0000000; 0.0000000
31.9879092; -165.3799298; -3.2060075; -1.5678914; -0.0000193; 55.0000000; 0.0000000
33.9871536; -163.3806938; -3.2002385; -1.5679301; -0.0000194; 55.0000000; 0.0000000
35.9863979; -161.3814577; -3.1945472; -1.5679692; -0.0000196; 55.0000000; 0.0000000
37.9856422; -159.3822211; -3.1889344; -1.5680086; -0.0000198; 55.0000000; 0.0000000
39.9848865; -157.3829845; -3.1834006; -1.5680483; -0.0000200; 55.0000000; 0.0000000
41.9841309; -155.3837477; -3.1779467; -1.5680884; -0.0000201; 55.0000000; 0.0000000
43.9833752; -153.3845105; -3.1725733; -1.5681289; -0.0000203; 55.0000000; 0.0000000
45.9826195; -151.3852732; -3.1672811; -1.5681697; -0.0000205; 55.0000000; 0.0000000
47.9818638; -149.3860357; -3.1620709; -1.5682108; -0.0000207; 55.0000000; 0.0000000
49.9811082; -147.3867979; -3.1569432; -1.5682523; -0.0000208; 55.0000000; 0.0000000
51.9803525; -145.3875599; -3.1518988; -1.5682941; -0.0000210; 55.0000000; 0.0000000
53.9795968; -143.3883218; -3.1469385; -1.5683363; -0.0000212; 55.0000000; 0.0000000
55.9788412; -141.3890834; -3.1420628; -1.5683789; -0.0000214; 55.0000000; 0.0000000
57.9780855; -139.3898448; -3.1372726; -1.5684218; -0.0000215; 55.0000000; 0.0000000
59.9773298; -137.3906061; -3.1325684; -1.5684650; -0.0000217; 55.0000000; 0.0000000
61.9765741; -135.3913670; -3.1279510; -1.5685086; -0.0000219; 55.0000000; 0.0000000
63.9758185; -133.3921278; -3.1234212; -1.5685525; -0.0000221; 55.0000000; 0.0000000
65.9750628; -131.3928885; -3.1189795; -1.5685968; -0.0000222; 55.0000000; 0.0000000
67.9743071; -129.3936488; -3.1146267; -1.5686415; -0.0000224; 55.0000000; 0.0000000
69.9735514; -127.3944091; -3.1103635; -1.5686864; -0.0000226; 55.0000000; 0.0000000
71.9727958; -125.3951692; -3.1061906; -1.5687318; -0.0000228; 55.0000000; 0.0000000
73.9720401; -123.3959289; -3.1021086; -1.5687775; -0.0000229; 55.0000000; 0.0000000
75.9712844; -121.3966886; -3.0981184; -1.5688235; -0.0000231; 55.0000000; 0.0000000
77.9705288; -119.3974481; -3.0942205; -1.5688699; -0.0000233; 55.0000000; 0.0000000
79.9697731; -117.3982074; -3.0904157; -1.5689166; -0.0000235; 55.0000000; 0.0000000
81.9690174; -115.3989665; -3.0867047; -1.5689637; -0.0000236; 55.0000000; 0.0000000
83.9682617; -113.3997255; -3.0830881; -1.5690111; -0.0000238; 55.0000000; 0.0000000
85.9675061; -111.4004842; -3.0795667; -1.5690589; -0.0000240; 55.0000000; 0.0000000
87.9667504; -109.4012428; -3.0761412; -1.5691070; -0.0000242; 55.0000000; 0.0000000
89.9659947; -107.4020013; -3.0728122; -1.5691555; -0.0000243; 55.0000000; 0.0000000
91.9652390; -105.4027596; -3.0695805; -1.5692043; -0.0000245; 55.0000000; 0.0000000
93.9644834; -103.4035177; -3.0664468; -1.5692535; -0.0000247; 55.0000000; 0.0000000
95.9637277; -101.4042757; -3.0634117; -1.5693030; -0.0000249; 55.0000000; 0.0000000
97.9629720; -99.4050335; -3.0604760; -1.5693529; -0.0000250; 55.0000000; 0.0000000
99.9622163; -97.4057912; -3.0576403; -1.5694031; -0.0000252; 55.0000000; 0.0000000
101.9614607; -95.4065488; -3.0549054; -1.5694537; -0.0000254; 55.0000000; 0.0000000
103.9607050; -93.4073062; -3.0522720; -1.5695046; -0.0000256; 55.0000000; 0.0000000
105.9599493; -91.4080634; -3.0497406; -1.5695559; -0.0000257; 55.0000000; 0.0000000
107.9591937; -89.4088206; -3.0473122; -1.5696075; -0.0000259; 55.0000000; 0.0000000
109.9584380; -87.4095776; -3.0449872; -1.5696594; -0.0000261; 55.0000000; 0.0000000
111.9576823; -85.4103345; -3.0427665; -1.5697117; -0.0000263; 55.0000000; 0.0000000
113.9569266; -83.4110913; -3.0406508; -1.5697644; -0.0000264; 55.0000000; 0.0000000
115.9561710; -81.4118480; -3.0386406; -1.5698174; -0.0000266; 55.0000000; 0.0000000
117.9554153; -79.4126046; -3.0367369; -1.5698708; -0.0000268; 55.0000000; 0.0000000
119.9546596; -77.4133611; -3.0349401; -1.5699245; -0.0000270; 55.0000000; 0.0000000
121.9539039; -75.4141175; -3.0332511; -1.5699786; -0.0000271; 55.0000000; 0.0000000
123.9531483; -73.4148738; -3.0316705; -1.5700330; -0.0000273; 55.0000000; 0.0000000
125.9523926; -71.4156300; -3.0301990; -1.5700877; -0.0000275; 55.0000000; 0.0000000
127.9516369; -69.4163861; -3.0288374; -1.5701428; -0.0000277; 55.0000000; 0.0000000
129.9508813; -67.4171422; -3.0275862; -1.5701983; -0.0000278; 55.0000000; 0.0000000
131.9501256; -65.4178982; -3.0264463; -1.5702541; -0.0000280; 55.0000000; 0.0000000
133.9493699; -63.4186541; -3.0254183; -1.5703102; -0.0000282; 55.0000000; 0.0000000
135.9486142; -61.4194100; -3.0245029; -1.5703667; -0.0000283; 55.0000000; 0.0000000
137.9478586; -59.4201658; -3.0237008; -1.5704236; -0.0000285; 55.0000000; 0.0000000
139.9471029; -57.4209217; -3.0230128; -1.5704808; -0.0000287; 55.0000000; 0.0000000
141.9463472; -55.4216774; -3.0224394; -1.5705383; -0.0000289; 55.0000000; 0.0000000
143.9455915; -53.4224331; -3.0219815; -1.5705962; -0.0000290; 55.0000000; 0.0000000
145.9448359; -51.4231889; -3.0216396; -1.5706545; -0.0000292; 55.0000000; 0.0000000
147.9440802; -49.4239446; -3.0214146; -1.5707131; -0.0000294; 55.0000000; 0.0000000
149.9433245; -47.4247002; -3.0213070; -1.5707720; -0.0000296; 55.0000000; 0.0000000
151.9425688; -45.4254559; -3.0213176; -1.5708313; -0.0000297; 55.0000000; 0.0000000
153.9418132; -43.4262116; -3.0214472; -1.5708910; -0.0000299; 55.0000000; 0.0000000
155.9410575; -41.4269672; -3.0216963; -1.5709510; -0.0000301; 55.0000000; 0.0000000
157.9403018; -39.4277230; -3.0220657; -1.5710113; -0.0000303; 55.0000000; 0.0000000
159.9395462; -37.4284787; -3.0225561; -1.5710720; -0.0000304; 55.0000000; 0.0000000
161.9387905; -35.4292344; -3.0231682; -1.5711330; -0.0000306; 55.0000000; 0.0000000
163.9380348; -33.4299903; -3.0239026; -1.5711944; -0.0000308; 55.0000000; 0.0000000
165.9372791; -31.4307462; -3.0247602; -1.5712562; -0.0000310; 55.0000000; 0.0000000
167.9365235; -29.4315020; -3.0257415; -1.5713182; -0.0000311; 55.0000000; 0.0000000
169.9357678; -27.4322581; -3.0268473; -1.5713807; -0.0000313; 55.0000000; 0.0000000
171.9350121; -25.4330142; -3.0280782; -1.5714435; -0.0000315; 55.0000000; 0.0000000
173.9342564; -23.4337702; -3.0294351; -1.5715066; -0.0000317; 55.0000000; 0.0000000
175.9335008; -21.4345265; -3.0309185; -1.5715701; -0.0000318; 55.0000000; 0.0000000
177.9327451; -19.4352829; -3.0325291; -1.5716339; -0.0000320; 55.0000000; 0.0000000
179.9319894; -17.4360391; -3.0342678; -1.5716981; -0.0000322; 55.0000000; 0.0000000
181.9312338; -15.4367958; -3.0361350; -1.5717626; -0.0000324; 55.0000000; 0.0000000
183.9304781; -13.4375525; -3.0381317; -1.5718275; -0.0000325; 55.0000000; 0.0000000
185.9297224; -11.4383092; -3.0402584; -1.5718927; -0.0000327; 55.0000000; 0.0000000
187.9289667; -9.4390663; -3.0425158; -1.5719583; -0.0000329; 55.0000000; 0.0000000
189.9282111; -7.4398234; -3.0449047; -1.5720242; -0.0000331; 55.0000000; 0.0000000
191.9274554; -5.4405805; -3.0474258; -1.5720905; -0.0000332; 55.0000000; 0.0000000
193.9266997; -3.4413381; -3.0500797; -1.5721571; -0.0000334; 55.0000000; 0.0000000
195.9259440; -1.4420957; -3.0528671; -1.5722241; -0.0000336; 55.0000000; 0.0000000
197.9251884; 0.5571467; -3.0557888; -1.5722914; -0.0000338; 55.0000000; 0.0000000
199.9244327; 2.5563885; -3.0588454; -1.5723591; -0.0000339; 55.0000000; 0.0000000
201.9236770; 4.5556302; -3.0620376; -1.5724271; -0.0000341; 55.0000000; 0.0000000
203.9229213; 6.5548720; -3.0653662; -1.5724955; -0.0000343; 55.0000000; 0.0000000
205.9221657; 8.5541131; -3.0688318; -1.5725642; -0.0000345; 55.0000000; 0.0000000
207.9214100; 10.5533541; -3.0724351; -1.5726332; -0.0000346; 55.0000000; 0.0000000
209.9206543; 12.5525952; -3.0761769; -1.5727027; -0.0000348; 55.0000000; 0.0000000
