# 3d00dc94-706c-48e4-8403-b2f7079816a3
# da39a3ee5e6b4b0d3255bfef95601890afd80709
# s_m; x_m; y_m; psi_rad; kappa_radpm; vx_mps; ax_mps2
0.0000000; -197.3679905; -4.6831868; -1.5696941; -0.0000000; 54.9999824; 0.0001647
1.9997664; -195.3682254; -4.6809827; -1.5696943; -0.0000002; 54.9999883; 0.0000828
3.9995328; -193.3684600; -4.6787791; -1.5696946; -0.0000002; 54.9999914; 0.0000011
5.9992992; -191.3686949; -4.6765764; -1.5696951; -0.0000002; 54.9999914; -0.0000002
7.9990657; -189.3689297; -4.6743746; -1.5696955; -0.0000002; 54.9999914; -0.0000001
9.9988321; -187.3691645; -4.6721736; -1.5696959; -0.0000002; 54.9999914; -0.0000000
11.9985985; -185.3693993; -4.6699734; -1.5696963; -0.0000002; 54.9999914; 0.0000000
13.9983649; -183.3696341; -4.6677740; -1.5696967; -0.0000002; 54.9999914; 0.0000000
15.9981313; -181.3698688; -4.6655752; -1.5696970; -0.0000002; 54.9999914; 0.0000000
17.9978977; -179.3701036; -4.6633771; -1.5696973; -0.0000002; 54.9999914; 0.0000000
19.9976642; -177.3703384; -4.6611796; -1.5696976; -0.0000001; 54.9999914; 0.0000000
21.9974306; -175.3705732; -4.6589827; -1.5696979; -0.0000001; 54.9999914; 0.0000000
23.9971970; -173.3708080; -4.6567862; -1.5696981; -0.0000001; 54.9999914; 0.0000000
25.9969634; -171.3710428; -4.6545902; -1.5696983; -0.0000001; 54.9999914; 0.0000000
27.9967298; -169.3712776; -4.6523947; -1.5696985; -0.0000001; 54.9999914; 0.0000000
29.9964962; -167.3715124; -4.6501995; -1.5696987; -0.0000001; 54.9999914; 0.0000000
31.9962626; -165.3717472; -4.6480046; -1.5696988; -0.0000001; 54.9999914; 0.0000000
33.9960291; -163.3719820; -4.6458100; -1.5696990; -0.0000001; 54.9999914; 0.0000000
35.9957955; -161.3722168; -4.6436157; -1.5696991; -0.0000001; 54.9999914; 0.0000000
37.9955619; -159.3724515; -4.6414217; -1.5696992; -0.0000001; 54.9999914; 0.0000000
39.9953283; -157.3726863; -4.6392279; -1.5696994; -0.0000001; 54.9999914; 0.0000000
41.9950947; -155.3729211; -4.6370343; -1.5696995; -0.0000001; 54.9999914; 0.0000000
43.9948611; -153.3731559; -4.6348409; -1.5696996; -0.0000001; 54.9999914; 0.0000000
45.9946275; -151.3733907; -4.6326478; -1.5696997; -0.0000001; 54.9999914; 0.0000000
47.9943940; -149.3736255; -4.6304549; -1.5696998; -0.0000001; 54.9999914; 0.0000000
49.9941604; -147.3738603; -4.6282622; -1.5696999; -0.0000001; 54.9999914; 0.0000000
51.9939268; -145.3740951; -4.6260699; -1.5697001; -0.0000001; 54.9999914; 0.0000000
53.9936932; -143.3743298; -4.6238778; -1.5697003; -0.0000001; 54.9999914; 0.0000000
55.9934596; -141.3745646; -4.6216861; -1.5697004; -0.0000001; 54.9999914; 0.0000000
57.9932260; -139.3747994; -4.6194948; -1.5697007; -0.0000001; 54.9999914; 0.0000000
59.9929925; -137.3750342; -4.6173040; -1.5697009; -0.0000001; 54.9999914; 0.0000000
61.9927589; -135.3752690; -4.6151137; -1.5697012; -0.0000001; 54.9999914; 0.0000000
63.9925253; -133.3755038; -4.6129240; -1.5697015; -0.0000002; 54.9999914; 0.0000000
65.9922917; -131.3757385; -4.6107349; -1.5697019; -0.0000002; 54.9999914; 0.0000000
67.9920581; -129.3759734; -4.6085466; -1.5697023; -0.0000002; 54.9999914; 0.0000000
69.9918245; -127.3762081; -4.6063592; -1.5697027; -0.0000002; 54.9999914; 0.0000000
71.9915909; -125.3764429; -4.6041726; -1.5697032; -0.0000003; 54.9999914; 0.0000000
73.9913574; -123.3766777; -4.6019871; -1.5697037; -0.0000003; 54.9999914; 0.0000000
75.9911238; -121.3769125; -4.5998026; -1.5697043; -0.0000003; 54.9999914; 0.0000000
77.9908902; -119.3771472; -4.5976193; -1.5697049; -0.0000003; 54.9999914; 0.0000000
79.9906566; -117.3773820; -4.5954373; -1.5697055; -0.0000003; 54.9999914; 0.0000000
81.9904230; -115.3776168; -4.5932566; -1.5697062; -0.0000004; 54.9999914; 0.0000000
83.9901894; -113.3778515; -4.5910773; -1.5697069; -0.0000004; 54.9999914; 0.0000000
85.9899558; -111.3780863; -4.5888995; -1.5697077; -0.0000004; 54.9999914; 0.0000000
87.9897223; -109.3783211; -4.5867233; -1.5697085; -0.0000004; 54.9999914; 0.0000000
89.9894887; -107.3785559; -4.5845486; -1.5697093; -0.0000004; 54.9999914; 0.0000000
91.9892551; -105.3787907; -4.5823755; -1.5697101; -0.0000004; 54.9999914; 0.0000000
93.9890215; -103.3790254; -4.5802041; -1.5697109; -0.0000004; 54.9999914; 0.0000000
95.9887879; -101.3792601; -4.5780344; -1.5697117; -0.0000004; 54.9999914; 0.0000000
97.9885543; -99.3794949; -4.5758663; -1.5697126; -0.0000004; 54.9999914; 0.0000000
