# aa9a14bb-4e16-49b9-be1c-1f3115131d28
# fa6dd5aa5c60fc24f97b1c07282f552698c45468
# s_m; x_m; y_m; psi_rad; kappa_radpm; vx_mps; ax_mps2
0.0000000; -197.3638031; -5.2046732; -1.5699147; -0.0000006; 55.0000000; 0.0000000
1.9996707; -195.3641331; -5.2029113; -1.5699159; -0.0000006; 55.0000000; 0.0000000
3.9993414; -193.3644632; -5.2011519; -1.5699171; -0.0000006; 55.0000000; 0.0000000
5.9990121; -191.3647933; -5.1993950; -1.5699183; -0.0000006; 55.0000000; 0.0000000
7.9986828; -189.3651234; -5.1976406; -1.5699197; -0.0000007; 55.0000000; 0.0000000
9.9983535; -187.3654534; -5.1958889; -1.5699210; -0.0000007; 55.0000000; 0.0000000
11.9980241; -185.3657835; -5.1941399; -1.5699224; -0.0000007; 55.0000000; 0.0000000
13.9976948; -183.3661136; -5.1923937; -1.5699238; -0.0000007; 55.0000000; 0.0000000
15.9973655; -181.3664436; -5.1906505; -1.5699253; -0.0000007; 55.0000000; 0.0000000
17.9970362; -179.3667737; -5.1889102; -1.5699268; -0.0000008; 55.0000000; 0.0000000
19.9967069; -177.3671038; -5.1871730; -1.5699284; -0.0000008; 55.0000000; 0.0000000
21.9963776; -175.3674338; -5.1854389; -1.5699300; -0.0000008; 55.0000000; 0.0000000
23.9960483; -173.3677639; -5.1837081; -1.5699316; -0.0000008; 55.0000000; 0.0000000
25.9957190; -171.3680939; -5.1819806; -1.5699333; -0.0000009; 55.0000000; 0.0000000
27.9953897; -169.3684240; -5.1802565; -1.5699350; -0.0000009; 55.0000000; 0.0000000
29.9950604; -167.3687541; -5.1785359; -1.5699368; -0.0000009; 55.0000000; 0.0000000
31.9947311; -165.3690841; -5.1768188; -1.5699386; -0.0000009; 55.0000000; 0.0000000
33.9944018; -163.3694141; -5.1751054; -1.5699404; -0.0000009; 55.0000000; 0.0000000
35.9940724; -161.3697442; -5.1733957; -1.5699423; -0.0000010; 55.0000000; 0.0000000
37.9937431; -159.3700742; -5.1716898; -1.5699442; -0.0000010; 55.0000000; 0.0000000
39.9934138; -157.3704042; -5.1699879; -1.5699462; -0.0000010; 55.0000000; 0.0000000
41.9930845; -155.3707343; -5.1682899; -1.5699482; -0.0000010; 55.0000000; 0.0000000
43.9927552; -153.3710643; -5.1665959; -1.5699502; -0.0000010; 55.0000000; 0.0000000
45.9924259; -151.3713943; -5.1649061; -1.5699523; -0.0000011; 55.0000000; 0.0000000
47.9920966; -149.3717244; -5.1632206; -1.5699545; -0.0000011; 55.0000000; 0.0000000
49.9917673; -147.3720544; -5.1615393; -1.5699567; -0.0000011; 55.0000000; 0.0000000
51.9914380; -145.3723844; -5.1598624; -1.5699589; -0.0000011; 55.0000000; 0.0000000
53.9911087; -143.3727144; -5.1581901; -1.5699611; -0.0000011; 55.0000000; 0.0000000
55.9907794; -141.3730444; -5.1565222; -1.5699634; -0.0000012; 55.0000000; 0.0000000
57.9904501; -139.3733744; -5.1548590; -1.5699658; -0.0000012; 55.0000000; 0.0000000
59.9901207; -137.3737044; -5.1532006; -1.5699682; -0.0000012; 55.0000000; 0.0000000
61.9897914; -135.3740344; -5.1515469; -1.5699706; -0.0000012; 55.0000000; 0.0000000
63.9894621; -133.3743644; -5.1498981; -1.5699730; -0.0000012; 55.0000000; 0.0000000
65.9891328; -131.3746944; -5.1482543; -1.5699755; -0.0000013; 55.0000000; 0.0000000
67.9888035; -129.3750243; -5.1466156; -1.5699781; -0.0000013; 55.0000000; 0.0000000
69.9884742; -127.3753543; -5.1449820; -1.5699807; -0.0000013; 55.0000000; 0.0000000
71.9881449; -125.3756843; -5.1433536; -1.5699833; -0.0000013; 55.0000000; 0.0000000
73.9878156; -123.3760142; -5.1417305; -1.5699860; -0.0000013; 55.0000000; 0.0000000
75.9874863; -121.3763442; -5.1401128; -1.5699887; -0.0000014; 55.0000000; 0.0000000
77.9871570; -119.3766742; -5.1385005; -1.5699915; -0.0000014; 55.0000000; 0.0000000
79.9868277; -117.3770041; -5.1368938; -1.5699942; -0.0000014; 55.0000000; 0.0000000
81.9864984; -115.3773341; -5.1352928; -1.5699971; -0.0000014; 55.0000000; 0.0000000
83.9861690; -113.3776640; -5.1336974; -1.5700000; -0.0000014; 55.0000000; 0.0000000
85.9858397; -111.3779939; -5.1321079; -1.5700029; -0.0000015; 55.0000000; 0.0000000
87.9855104; -109.3783239; -5.1305242; -1.5700058; -0.0000015; 55.0000000; 0.0000000
89.9851811; -107.3786538; -5.1289465; -1.5700089; -0.0000015; 55.0000000; 0.0000000
91.9848518; -105.3789837; -5.1273748; -1.5700119; -0.0000015; 55.0000000; 0.0000000
93.9845225; -103.3793137; -5.1258093; -1.5700150; -0.0000016; 55.0000000; 0.0000000
95.9841932; -101.3796436; -5.1242500; -1.5700181; -0.0000016; 55.0000000; 0.0000000
