# 510abad0-a08e-46df-8b55-425dd501f64c
# fa6dd5aa5c60fc24f97b1c07282f552698c45468
# s_m; x_m; y_m; psi_rad; kappa_radpm; vx_mps; ax_mps2
0.0000000; -197.3636948; -5.3049158; -1.5699174; -0.0000006; 55.0000000; 0.0000000
1.9996438; -195.3640517; -5.3031594; -1.5699185; -0.0000006; 55.0000000; 0.0000000
3.9992877; -193.3644086; -5.3014053; -1.5699198; -0.0000006; 55.0000000; 0.0000000
5.9989315; -191.3647656; -5.2996537; -1.5699210; -0.0000006; 55.0000000; 0.0000000
7.9985753; -189.3651225; -5.2979047; -1.5699223; -0.0000007; 55.0000000; 0.0000000
9.9982192; -187.3654794; -5.2961582; -1.5699236; -0.0000007; 55.0000000; 0.0000000
11.9978630; -185.3658364; -5.2944145; -1.5699250; -0.0000007; 55.0000000; 0.0000000
13.9975068; -183.3661933; -5.2926735; -1.5699264; -0.0000007; 55.0000000; 0.0000000
15.9971507; -181.3665502; -5.2909354; -1.5699278; -0.0000007; 55.0000000; 0.0000000
17.9967945; -179.3669071; -5.2892002; -1.5699293; -0.0000008; 55.0000000; 0.0000000
19.9964384; -177.3672640; -5.2874681; -1.5699309; -0.0000008; 55.0000000; 0.0000000
21.9960822; -175.3676209; -5.2857391; -1.5699324; -0.0000008; 55.0000000; 0.0000000
23.9957260; -173.3679779; -5.2840132; -1.5699341; -0.0000008; 55.0000000; 0.0000000
25.9953699; -171.3683347; -5.2822906; -1.5699357; -0.0000008; 55.0000000; 0.0000000
27.9950137; -169.3686916; -5.2805714; -1.5699374; -0.0000009; 55.0000000; 0.0000000
29.9946575; -167.3690486; -5.2788556; -1.5699391; -0.0000009; 55.0000000; 0.0000000
31.9943014; -165.3694054; -5.2771433; -1.5699409; -0.0000009; 55.0000000; 0.0000000
33.9939452; -163.3697623; -5.2754346; -1.5699427; -0.0000009; 55.0000000; 0.0000000
35.9935890; -161.3701193; -5.2737296; -1.5699446; -0.0000009; 55.0000000; 0.0000000
37.9932329; -159.3704761; -5.2720284; -1.5699465; -0.0000010; 55.0000000; 0.0000000
39.9928767; -157.3708330; -5.2703310; -1.5699484; -0.0000010; 55.0000000; 0.0000000
41.9925205; -155.3711899; -5.2686375; -1.5699504; -0.0000010; 55.0000000; 0.0000000
43.9921644; -153.3715468; -5.2669480; -1.5699524; -0.0000010; 55.0000000; 0.0000000
45.9918082; -151.3719036; -5.2652626; -1.5699545; -0.0000010; 55.0000000; 0.0000000
47.9914521; -149.3722605; -5.2635813; -1.5699566; -0.0000011; 55.0000000; 0.0000000
49.9910959; -147.3726174; -5.2619044; -1.5699588; -0.0000011; 55.0000000; 0.0000000
51.9907397; -145.3729742; -5.2602317; -1.5699609; -0.0000011; 55.0000000; 0.0000000
53.9903836; -143.3733311; -5.2585634; -1.5699632; -0.0000011; 55.0000000; 0.0000000
55.9900274; -141.3736880; -5.2568997; -1.5699654; -0.0000011; 55.0000000; 0.0000000
57.9896712; -139.3740448; -5.2552405; -1.5699677; -0.0000012; 55.0000000; 0.0000000
59.9893151; -137.3744017; -5.2535860; -1.5699701; -0.0000012; 55.0000000; 0.0000000
61.9889589; -135.3747585; -5.2519362; -1.5699725; -0.0000012; 55.0000000; 0.0000000
63.9886027; -133.3751153; -5.2502912; -1.5699749; -0.0000012; 55.0000000; 0.0000000
65.9882466; -131.3754722; -5.2486512; -1.5699774; -0.0000012; 55.0000000; 0.0000000
67.9878904; -129.3758290; -5.2470161; -1.5699799; -0.0000013; 55.0000000; 0.0000000
69.9875342; -127.3761858; -5.2453861; -1.5699825; -0.0000013; 55.0000000; 0.0000000
71.9871781; -125.3765427; -5.2437612; -1.5699850; -0.0000013; 55.0000000; 0.0000000
73.9868219; -123.3768995; -5.2421415; -1.5699877; -0.0000013; 55.0000000; 0.0000000
75.9864657; -121.3772563; -5.2405272; -1.5699904; -0.0000013; 55.0000000; 0.0000000
